SISTEMA / TIPO,TAG,FABRICANTE,AC,INVERTER,MODELO,POTENCIA NOMINAL (BTU) ,POTENCIA NOMINAL (W),Potencia elétrica consumida em 1 hora por mes (W),VOLTAGEM (V),POTÊNCIA ELÉTRICA CONSUMIDA,LOCALIZAÇÃO,TIPO_FLUIDO,CENTRO DE CUSTO,UNIDADE,TIPO_CENTRO_DE_CUSTO,CONSUMO_CENARIO_1,CONSUMO_MANHÃ,CONSUMO_TARDE,VALOR_TOTAL
split,SPLT-4385,Elgin,1,0,OUFE 80B3NA,80000,23432.0000,135000.0000,220,,2º PAVIMENTO - Recepção, R410A,VERDE - PACIENTES,NGA,ASSISTENCIAL,152.308,29.29,98.4144,127.7044
split,SPLT-4461,ELGIN,1,0,OUFE80B3NA,80000,23432.0000,135000.0000,220,,Térreo - Almoxarifado, R410A,LARANJA - FUNCIONÁRIOS,NGA,ADM,74.9824,14.0592,82.012,96.0712
split,SPLT-1693,Komeco,1,0,KOHI09QCRB,60000,17574.0000,136000.0000,220,,1º Andar - Setor Lilás - Acupuntura, R22,LILÁS - PACIENTES,NGA,ASSISTENCIAL,114.231,21.9675,73.8108,95.7783
split,SPLT-4468,SPRINGER,1,0,Piso Teto - 38CCU060535MS,60000,17574,78100,220,,Almoxarifado da Farmácia,R410A,EDIFICIO GERAL,CHPB,ASSISTENCIAL,114.231,21.9675,73.8108,95.7783
split,SPLT-130,GREE,1,0,Evap. GTST 48-22L (I) / Cond. NT IDENT.,48000,14059.2,112400,220,,RH, R22,ADMINISTRAÇÃO,HMLMB,ADM,44.98944,8.43552,49.2072,57.64272
split,SPLT-144,GREE,1,0,Evap. GTST 48-22L (I) / Cond. NT IDENT.,48000,14059.2,112400,220,,RH, R22,ADMINISTRAÇÃO,HMLMB,ADM,44.98944,8.43552,49.2072,57.64272
split,SPLT-2118,Elgin,1,0,PHFI-4800-2,48000,14059.2,94700,220,,ARQUIVO,R22,ADMINISTRAÇÃO,HICF,ADM,44.98944,8.43552,49.2072,57.64272
split,SPLT-915,Midea,1,0,MPE1-36 - CRIF,36000,10544.4000,52300.0000,220,,Térreo amarelo - CROSS do lado farmácia de aut, R22,AMARELO - PACIENTES,NGA,ADM,33.74208,6.32664,36.9054,43.23204
split,SPLT-2237,Westing House,1,0,WIFXV(B)-365VW2,36000,10544.4000,72500.0000,220,,Térreo lilás – C.M.E, R410A,LILÁS - FUNCIONÁRIOS,NGA,ADM,33.74208,6.32664,36.9054,43.23204
split,SPLT-151,ELGIN,1,0,Evap. PHFI - 36.000-2 / Cond. PHFE - 36.000-2,36000,10544.4,76200,220,,Externa - 01, R22,FARMÁCIA/LAVANDERIA,HMLMB,ASSISTENCIAL,68.5386,13.1805,44.28648,57.46698
split,SPLT-152,ELGIN,1,0,Evap. PHFI - 36.000-2 / Cond. PHFE - 36.000-2,36000,10544.4,76200,220,,Externa - 02, R22,FARMÁCIA/LAVANDERIA,HMLMB,ASSISTENCIAL,68.5386,13.1805,44.28648,57.46698
split,SPLT-153,ELGIN,1,0,Evap. PHFI - 36.000-2 / Cond.r PHFE - 36.000-2,36000,10544.4,76200,220,,Externa - 03, R22,FARMÁCIA/LAVANDERIA,HMLMB,ASSISTENCIAL,68.5386,13.1805,44.28648,57.46698
split,SPLT-155,ELECTROLUX,1,0,Evap. K136F/ Cond. KE36F,36000,10544.4,,220,,Xerox, R22,EDIFICIO GERAL,HMLMB,ASSISTENCIAL,68.5386,13.1805,44.28648,57.46698
split,SPLT-534,ELETROLUX,1,0,38MCA012515MS/ 42MCA012515LS,36000,10544.4,,220,,COMPRAS,R22,ADMINISTRAÇÃO,HICF,ADM,33.74208,6.32664,36.9054,43.23204
split,SPLT-742,KOMECO,1,0,UNIDADE EXTERNA 38CC003515MS / UNIDADE INTERNA - 42XQ036S5,36000,10544.4,,220,,FINANÇAS, R410A,ADMINISTRAÇÃO,HICF,ADM,33.74208,6.32664,36.9054,43.23204
split,SPLT-749,CARRIER,1,0,42XPV36C5,36000,10544.4,,220,,CONSULTÓRIO, R410,PRONTO ATENDIMENTO,HICF,ASSISTENCIAL,68.5386,13.1805,44.28648,57.46698
split,SPLT-2119,ELETROLUX,1,0,C13GF,36000,10544.4,,220,,TOMOGRAFIA, R410,DIAGNÓSTICO_IMAGEM,HICF,ASSISTENCIAL,68.5386,13.1805,44.28648,57.46698
split,SPLT-3675,CARRIER,1,0,42XPV36C5,36000,10544.4,,220,,ROUPARIA, R410,RETAGUARDA,HICF,ASSISTENCIAL,68.5386,13.1805,44.28648,57.46698
split,SPLT-2136,CARRIER,1,0,38CCA036515MC,36000,10544.4,,220,,Anfiteatro recepção,R22,EDIFICIO GERAL,CHPB,ASSISTENCIAL,68.5386,13.1805,44.28648,57.46698
split,SPLT-2137,CARRIER,1,0,38CCA036515MC,36000,10544.4,,220,,Anfiteatro sala de aula,R22,EDIFICIO GERAL,CHPB,ASSISTENCIAL,68.5386,13.1805,44.28648,57.46698
split,SPLT-2138,CARRIER,1,0,38CCA036515MC,36000,10544.4,,220,,Anfiteatro sala de aula,R22,EDIFICIO GERAL,CHPB,ASSISTENCIAL,68.5386,13.1805,44.28648,57.46698
ar condicionado de janela,ACJ-1504,SPRINGER,1,0,YCB305D,30000,8787.0000,,220,3340.909091,"Térreo, Setor Amarelo, Farmacia Dose Certa", R22,AMARELO - FUNCIONÁRIOS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
ar condicionado de janela,ACJ-1606,SPRINGER,1,0,ZCA305RB,30000,8787.0000,,220,,2º azul DGAC - Expediente de Pessoal, R22,AZUL - FUNCIONÁRIOS,NGA,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-3636 (3636),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - Datashow, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3638 (3638),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - Protocolo, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3642 (3642),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - CAAS, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3643 (3643),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - Acid. Trab. e Insalubr., R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3644 (3644),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - Acid. Trab. e Insalubr., R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3646 (3646),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - NDA, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3647 (3647),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - SEI, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3648 (3648),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - SEI, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3651 (3651),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - Comissão Médica, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3652 (3652),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - Comissão Médica, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3655 (3655),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - ATD, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3656 (3656),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - ATD, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3658 (3658),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - AST, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3659 (3659),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - AST, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3660 (3660),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - AST, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3663 (3663),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,1º Andar DPME - Ingresso SCG, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3664 (3664),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - Biblioteca, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-3665 (3665),Elgin,1,0,HEFE30B2IA,30000,8787.0000,,220,,2ª andar DPME - CPD, R410A,PERICIAS MÉDICAS,NGA,ADM,28.1184,5.2722,30.7545,36.0267
split,SPLT-4386,Agratto,1,0,ICS 30FIR 4-02,30000,8787.0000,,220,,2º PAVIMENTO - Endoscopia, R410A,AMARELO - PACIENTES,NGA,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-163,ELGIN,1,0,Evap. SRF1 - 30000-2/ Cond. SRFE - 30000-2,30000,8787,,220,,Conforto Médico Residentes - 1º andar, R22,CENTRO CIRURGICO,HMLMB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-4026,MIDEA,1,0,HIWALL,30000,8787,,220,,Térreo - Bazar, R410A,AMBULATÓRIO,HMLMB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-4027,MIDEA,1,0,HIWALL,30000,8787,,220,,Térreo - Artesanato, R410A,AMBULATÓRIO,HMLMB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-3677,Elgin,1,0,SRFI - 30000 - 2,30000,8787,,220,,CME 2,R22,CME,HICF,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
ar condicionado de janela,ACJ-2230,YCH305D,1,0,YCH305D,30000,8787,,220,,Gerência Clínica Cirúrgica,R22,EDIFICIO GERAL,CHPB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
bomba de agua (ar condicionado),BAGC-824,IMBIL,0,0,INI 80-200H,25096.26,7350.6946,,220,,COBERTURA - SETOR VERDE,NA,VERDE - FUNCIONÁRIOS,NGA,ADM,23.52222257,4.410416732,25.72743094,30.13784767
bomba de agua (ar condicionado),BAGC-826,IMBIL,0,0,INI 80-200H,25096.26,7350.6946,,220,,COBERTURA - SETOR VERDE,NA,VERDE - FUNCIONÁRIOS,NGA,ADM,23.52222257,4.410416732,25.72743094,30.13784767
bomba de agua (ar condicionado),BAGC-827,IMBIL,0,0,INI 80-200H,25096.26,7350.6946,,220,,COBERTURA - SETOR VERDE,NA,VERDE - FUNCIONÁRIOS,NGA,ADM,23.52222257,4.410416732,25.72743094,30.13784767
bomba de agua (ar condicionado),BAGC-828,IMBIL,0,0,INI 100-200,50192.52,14701.3891,,220,,COBERTURA - SETOR AMARELO,NA,AMARELO - FUNCIONÁRIOS,NGA,ADM,47.04444515,8.820833465,51.45486188,60.27569534
bomba de agua (ar condicionado),BAGC-829,IMBIL,0,0,INI 100-200,50192.52,14701.3891,,220,,COBERTURA - SETOR AMARELO,NA,AMARELO - FUNCIONÁRIOS,NGA,ADM,47.04444515,8.820833465,51.45486188,60.27569534
chiller,CHIL-643,TRANE,1,0,CGAD15032A5AT02,1800000,527220.0000,,380,,COBERTURA,R407C,LILÁS - FUNCIONÁRIOS,NGA,ADM,1687.104,316.332,1845.27,2161.602
chiller,CHIL-655,TRANE,1,0,CGAD15032A5AT02,1800000,527220.0000,,380,,COBERTURA,R407C,AMARELO - FUNCIONÁRIOS,NGA,ADM,1687.104,316.332,1845.27,2161.602
fancoil,FC-657,TRANE,1,0,WDPA103GJ53000000 - 10 TR,120000,35148.0000,,220,,TÉRREO - SETOR LILÁS,NA,LILÁS - FUNCIONÁRIOS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-658,TRANE,1,0,WDPA123DD5400000 - 10 TR,120000,35148.0000,,220,,TÉRREO - SETOR VERDE,NA,VERDE - FUNCIONÁRIOS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-660,TRANE,1,0,WDP103DA5T0000 - 10 TR,120000,35148.0000,,220,,TÉRREO - SETOR AMARELO,NA,AMARELO - FUNCIONÁRIOS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-661,TRANE,1,0,WDTA063AD5700000 - 10 TR,120000,35148.0000,,220,,TÉRREO - SETOR AZUL,NA,AZUL - FUNCIONÁRIOS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-662,TRANE,1,0,WDTA173JG5400000 - 5 TR,60000,17574.0000,,220,,1° ANDAR - SETOR Lilas,NA,LILÁS - FUNCIONÁRIOS,NGA,ADM,56.2368,10.5444,61.509,72.0534
fancoil,FC-669,TRANE,1,0,WDPA103GA5T00000 - 10 TR,120000,35148.0000,,220,,1° ANDAR - SETOR VERDE,NA,VERDE - FUNCIONÁRIOS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-704,TRANE,1,0,WDPA103G5T00000 - 10 TR,120000,35148.0000,,220,,1° ANDAR - SETOR AMARELO,NA,AMARELO - FUNCIONÁRIOS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-708,TRANE,1,0,WDPA103GD5T00000 - 10 TR,120000,35148.0000,,220,,1° ANDAR - SETOR AZUL,NA,AZUL - FUNCIONÁRIOS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-710,TRANE,1,0,WDPA103GA5T00000 - 10 TR,120000,35148.0000,,220,,1° ANDAR - SETOR LARANJA,NA,LARANJA - FUNCIONÁRIOS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-711,TRANE,1,0,"WLPA033GG540Y500 - 7,5 TR",90000,26361.0000,,220,,2° ANDAR - SETOR LILÁS,NA,LILÁS - FUNCIONÁRIOS,NGA,ADM,84.3552,15.8166,92.2635,108.0801
fancoil,FC-712,TRANE,1,0,"WDTA083AA5300000 - 12,5 TR",150000,43935.0000,,220,,2° ANDAR - SETOR AMARELO,NA,AMARELO - FUNCIONÁRIOS,NGA,ADM,140.592,26.361,153.7725,180.1335
fancoil,FC-715,TRANE,1,0,WDPA063DD5T00000 - 5TR,60000,17574.0000,,220,,2° ANDAR - SETOR AZUL,NA,AZUL - FUNCIONÁRIOS,NGA,ADM,56.2368,10.5444,61.509,72.0534
fancoil,FC-716,TRANE,1,0,WDTA173GD3Z00000 - 10 TR,120000,35148.0000,,220,,2° ANDAR - SETOR LARANJA,NA,LARANJA - FUNCIONÁRIOS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-717,TRANE,1,0,WDPA083GA5700000 - 10 TR,120000,35148.0000,,220,,D.P.M.E. - TÉRREO - SETOR AZUL,NA,PERICIAS MÉDICAS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-718,TRANE,1,0,WDPA083G5700000 - 10 TR,120000,35148.0000,,220,,D.P.M.E. - TÉRREO - SETOR VERDE,NA,PERICIAS MÉDICAS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-720,TRANE,1,0,WDPA103GA5700000 - 10 TR,120000,35148.0000,,220,,D.P.M.E - 1° ANDAR - SETOR AZUL,NA,PERICIAS MÉDICAS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-721,TRANE,1,0,WDPA103GA5700000 - 10 TR,120000,35148.0000,,220,,D.P.M.E. - 1° ANDAR - SETOR VERDE,NA,PERICIAS MÉDICAS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-722,TRANE,1,0,WDPA103GA5700000 - 10 TR,120000,35148.0000,,220,,D.P.M.E. - 2° ANDAR - SETOR AZUL,NA,PERICIAS MÉDICAS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-724,TRANE,1,0,WDPA103GA5700000 - 10 TR,120000,35148.0000,,220,,D.P.M.E. - 2° ANDAR - SETOR VERDE,NA,PERICIAS MÉDICAS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-725,TRANE,1,0,WLPA033GG540Y500 - 5 TR,60000,17574.0000,,220,,2° ANDAR - SETOR LILÁS,NA,LILÁS - FUNCIONÁRIOS,NGA,ADM,56.2368,10.5444,61.509,72.0534
fancoil,FC-726,TRANE,1,0,"WLPA033GG540Y500 - 7,5 TR",90000,26361.0000,,220,,2° ANDAR - SETOR LILÁS,NA,LILÁS - FUNCIONÁRIOS,NGA,ADM,84.3552,15.8166,92.2635,108.0801
fancoil,FC-727,TRANE,1,0,"WLPA043GG540Y500 - 7,5 TR",90000,26361.0000,,220,,2° ANDAR - SETOR LILÁS,NA,LILÁS - FUNCIONÁRIOS,NGA,ADM,84.3552,15.8166,92.2635,108.0801
fancoil,FC-728,TRANE,1,0,WDTA123GA5Z00000 - 10 TR,120000,35148.0000,,220,,2° ANDAR - SETOR LILÁS,NA,LILÁS - FUNCIONÁRIOS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-729,TRANE,1,0,"WDPA033DD5T00000 - 12,5 TR",150000,43935.0000,,220,,2° ANDAR - SETOR LILÁS,NA,LILÁS - FUNCIONÁRIOS,NGA,ADM,140.592,26.361,153.7725,180.1335
fancoil,FC-730,TRANE,1,0,WDTA063AD54000000 - 715 TR,90000,26361.0000,,220,,TERREO - SETOR VERDE,NA,VERDE - FUNCIONÁRIOS,NGA,ADM,84.3552,15.8166,92.2635,108.0801
fancoil,FC-731,TRANE,1,0,WDPA063AD57000000 - 10 TR,120000,35148.0000,,220,,TERREO - SETOR VERDE,NA,VERDE - FUNCIONÁRIOS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-732,TRANE,1,0,"WDTA043AA5400000 - 12,5 TR",150000,43935.0000,,220,,2° ANDAR - SETOR VERDE,NA,VERDE - FUNCIONÁRIOS,NGA,ADM,140.592,26.361,153.7725,180.1335
fancoil,FC-733,TRANE,1,0,WDTA083AD5400000 - 5 TR,60000,17574.0000,,220,,2° ANDAR - SETOR VERDE,NA,VERDE - FUNCIONÁRIOS,NGA,ADM,56.2368,10.5444,61.509,72.0534
fancoil,FC-740,TRANE,1,0,"WDTA103DA5400000 - 12,5 TR",150000,43935.0000,,220,,2° ANDAR - SETOR VERDE,NA,VERDE - FUNCIONÁRIOS,NGA,ADM,140.592,26.361,153.7725,180.1335
fancoil,FC-777,TRANE,1,0,WDPA043AA5U00000 - 10 TR,120000,35148.0000,,220,,2° ANDAR - SETOR VERDE,NA,VERDE - FUNCIONÁRIOS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-778,TRANE,1,0,WDTA063AD5700000 - 10 TR,120000,35148.0000,,220,,TÉRREO - SETOR AZUL,NA,AZUL - FUNCIONÁRIOS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-779,TRANE,1,0,WDTA143DD5300000 - 10 TR,120000,35148.0000,,220,,2° ANDAR - SETOR AMARELO,NA,AMARELO - FUNCIONÁRIOS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-780,TRANE,1,0,WDPA043AD5T00000 - 5TR,60000,17574.0000,,220,,2° ANDAR - SETOR AMARELO,NA,AMARELO - FUNCIONÁRIOS,NGA,ADM,56.2368,10.5444,61.509,72.0534
fancoil,FC-782,TRANE,1,0,WDPA043DA5T00000 - 10 TR,120000,35148.0000,,220,,2° ANDAR - SETOR AZUL,NA,AZUL - FUNCIONÁRIOS,NGA,ADM,112.4736,21.0888,123.018,144.1068
fancoil,FC-783,TRANE,1,0,"WPDA043DA53 - 17,5 TR",210000,61509.0000,,220,,1° ANDAR - SETOR Lilas,NA,LILÁS - FUNCIONÁRIOS,NGA,ADM,196.8288,36.9054,215.2815,252.1869
fancoil,FC-784,TRANE,1,0,WDTA043AD800000 - 5 TR,60000,17574.0000,,220,,2° ANDAR - SETOR LARANJA,NA,LARANJA - FUNCIONÁRIOS,NGA,ADM,56.2368,10.5444,61.509,72.0534
fancoil,FC-785,TRANE,1,0,"WDTA033AA3800000 - 17,5 TR",210000,61509.0000,,220,,2° ANDAR - SETOR LARANJA,NA,LARANJA - FUNCIONÁRIOS,NGA,ADM,196.8288,36.9054,215.2815,252.1869
fancoil,FC-786,TRANE,1,0,WDTA083AD3400000 - 5 TR,60000,17574.0000,,220,,2° ANDAR - SETOR LARANJA,NA,LARANJA - FUNCIONÁRIOS,NGA,ADM,56.2368,10.5444,61.509,72.0534
split,SPLT-246,AGRATTO,1,0,CCS30FR4-02,30000,8787,,220,,Tomografia,R410,DIAGNÓSTICO_IMAGEM,CHPB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-247,ELGIN,1,0,PEFE30B2NB,30000,8787,,220,,UTI,R410,UTI ADULTO,CHPB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-248,ELGIN,1,0,PEFE30B2NB,30000,8787,,220,,UTI 2,R410,UTI ADULTO,CHPB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-255,Carrier,1,0,38KQH30C5,30000,8787,,220,,centro cirurgico rpa,R22,CENTRO CIRURGICO,CHPB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-268,MIDEA,1,0,38KQX30S5,30000,8787,,220,,Dermatologia recepção,R410,DERMATOLOGIA,CHPB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-296,RHEEN,1,0,RB1HW30AC2BC,30000,8787,,220,,RH,R22,CENTRO CIRURGICO,CHPB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-2228,MIDEA,1,0,38KQX30S5,30000,8787,,220,,Diretoria técnica hall,R410,EDIFICIO GERAL,CHPB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-3124 (3124),Elgin,1,0,PEFE30B2NB,30000,8787,,220,,Recepção Oftalmologia,R410,PRONTO SOCORRO,CHPB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-3125 (3125),Elgin,1,0,PEFE30B2NB,30000,8787,,220,,Espera Oftalmologia,R410,PRONTO SOCORRO,CHPB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-3127 (3127),MIDEA,1,0,42MLCD30M5,30000,8787,,220,,Raio- x Oftalmologia,R22,PRONTO SOCORRO,CHPB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-3613 (3613),ELGIN,1,0,PEFE30B2NB,30000,8787,,220,,Corredor de diagnóstico de imagem,R410,PRONTO SOCORRO,CHPB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-3624 (3624),MIDEA,1,0,38KCN30M5,30000,8787,,220,,Laboratório- Corredor da coleta,R22,LABORATÓRIO,CHPB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-4472,Agratto,1,0,ACS30FIR4-02,30000,8787,,220,,Telecomandado,R410A,LABORATÓRIO,CHPB,ASSISTENCIAL,57.1155,10.98375,36.9054,47.88915
split,SPLT-1051,Carrier,1,0,38LMCA027515TC,27000,7908.3000,,220,,"1º andar, Setor Amarelo - Salas 1301,1302 e 130", R22,AMARELO - PACIENTES,NGA,ASSISTENCIAL,51.40395,9.885375,33.21486,43.100235
split,SPLT-1052,Carrier,1,0,38LMCA027515TC,27000,7908.3000,,220,,"1º Andar, Setor Amarelo - Salas 1304,1305 e 130", R22,AMARELO - PACIENTES,NGA,ASSISTENCIAL,51.40395,9.885375,33.21486,43.100235
split,SPLT-1055,Carrier,1,0,38LMCA027515TC,27000,7908.3000,,220,,"1º Andar, Setor Verde - Salas 1409,1410 e 1411", R22,VERDE - PACIENTES,NGA,ASSISTENCIAL,51.40395,9.885375,33.21486,43.100235
split,SPLT-1056,Carrier,1,0,38LMCA027515TC,27000,7908.3000,,220,,"1º Andar, Setor Verde - Salas 1412, 1413 e 1414", R22,VERDE - PACIENTES,NGA,ASSISTENCIAL,51.40395,9.885375,33.21486,43.100235
